AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma
25.978159731574387	29.732030765099278	37.650066697586105	91.18087849479936	45.35809315915108	25.528695294614977	31.592662641681088	44.97076526121405	98.04324207275432	54.477668970041236	25.647042132039267	31.40102696032485	39.6694209670852	87.21898211805288	41.34916834719968	25.687069497589075	31.52694729550838	37.68708027962626	91.12311795403916	50.94105432524228	27.82748387192129	29.763809076432835	31.509365999914166	84.77534717751563	53.84903600426556	24.100180233573944	33.180144482564366	52.01266023863042	104.73871814671703	68.50577597577109	27.864096696903857	30.9507308450711	38.28725946189751	89.97784040434499	39.010417465191935	23.783724294239644	33.719609590271205	46.28866163728622	97.76854891657763	59.72722540217627	27.136447682871324	27.876161727296473	28.349215514943747	84.45376669419412	54.31681036001987	23.68646375246922	28.319834394567003	35.81264486453457	91.10100151303378	56.20899708863486	27.736456716948876	26.55131767586246	35.69035005990732	70.22348926484128	42.78375693980168	33.51291346005537	30.553736015819915	50.152023017043106	115.88937102061894	66.78059854079459	25.337246073250025	31.069187805363782	32.784425948383394	69.99830795044886	44.32720408515176	25.60661535380799	32.146032248240346	43.63992703142189	97.587131952545	60.365587088377964
24.722904648973465	28.932775088567322	32.40108267788526	94.64353055656052	62.20824314085822	24.210793672813963	28.07913289016944	32.73607187914295	100.18131909125658	69.31099207071556	22.100322604358624	26.83833211404142	35.613669993507216	91.91835927393329	62.603121924564306	21.91039046887305	26.6992328346735	30.692935648282127	88.0787446037415	59.65218598097474	28.358077697245875	31.47366387409398	39.79939705985495	93.06127061698126	60.34567657647559	31.301848697336823	33.30244035190616	44.94587199638172	116.674509137908	73.8355516003881	22.263971958471792	32.24835330505435	38.08891220203732	80.46013108570818	50.97497083303856	28.20171956167295	30.881264093744402	39.73917525191452	101.29053238323664	60.90067095438407	23.23627647264091	26.77788528977061	29.168506380850438	78.59994026148418	56.30255990960234	33.87295015888047	40.43928738362378	49.75496921953357	100.03823423513784	67.43775282468337	24.052389785666456	22.24939902756874	35.706380504419144	68.10646607137258	41.609012267449415	37.00014590736606	43.307248482423326	53.955629941621446	106.78330550880561	60.93094327032272	27.508870217092827	20.90989149045399	34.31203506578993	72.66173932492696	32.578076063567885	27.79479689625944	31.982419424663313	38.09696973916611	103.39406338118656	55.30723628977138
18.044819113924017	29.118294564949576	42.702350067428526	97.28775008394786	70.46803047085564	24.341612023238305	25.38021050398023	45.43305855644063	109.3776021207226	72.98471707953935	23.259614929098245	26.822413243043115	43.81676216016762	95.76606763121927	64.88568420912036	23.938384924329412	23.659382864106547	41.16070693582127	92.4654545390405	62.40526746542804	20.946187640341435	29.321051676679332	32.93991077331249	96.25816806072861	64.19417563231427	25.880024928479198	30.028983542209573	48.500247866736146	122.66282107157174	73.6631405145875	21.694945230336614	33.01563386830505	45.433413131492145	82.64111727220896	58.51749531407171	24.088203465977376	27.41328298563078	44.92471594445913	107.63464291012856	65.88625036004937	23.444408006945523	27.53020369845482	28.80835479559081	73.96583140608126	48.825825031878765	32.329099307907995	35.09728243031448	47.201975751866264	107.34776211615731	60.954940093054816	23.4404525257318	27.317490067423925	31.63390599571715	60.08184119799009	44.929241939184635	30.02904272605722	29.095925590981842	41.86292474583331	103.67210166654445	72.53626898846392	24.232659860578458	28.108309106039727	35.355609201611756	74.65563868913736	46.46077568282838	26.635350853238446	29.432850714342464	42.262409018676934	109.51687206503216	65.31586296937716
27.561480526284708	34.22684899038598	39.150562679958036	119.32148170250703	72.53587869467579	26.375336665039498	30.98964355087756	45.55662066519198	109.54140905985648	76.78529200707572	26.93639048840874	28.77128865267813	41.72875701678517	91.00272811019747	65.0444756438129	23.56179676849503	27.74494409752964	40.1009671001703	87.92826694407168	61.38203968264369	24.18503412779076	29.764892223495615	40.507267390073416	123.1952521900405	75.06909064867028	26.2772571764974	33.74909329275175	51.0262663023802	104.39861021850626	75.65563019402224	31.477685843671527	35.85595816350633	50.3234169799732	109.2633375487384	62.63726477364638	24.81715523253459	29.223271890791068	45.36278246301964	93.71831878298072	70.10830267142407	22.22031743840411	23.23877069789111	38.94191340085079	78.42853746266394	53.379394521184	28.271296054727237	26.28696107709773	38.85165772989481	94.21230722980886	58.753072749450766	20.592560107127657	26.467521771049903	35.042825758342595	65.45089916400924	47.09751717878721	28.066432936641505	32.81820453244222	42.36406306885257	99.17505865868266	65.58499561476324	26.309431071295997	27.70812631321536	36.226210476545376	80.35375852238315	48.606524153381855	24.299773559099965	30.634112941330137	41.612172864984146	102.93272385280547	62.229898081796925
26.694542964750354	32.43872281198179	35.88816859727421	91.56689371306352	62.66699830564411	30.8145112635839	33.16619248936959	47.15334021769294	102.85451457276184	72.68487928990801	23.826273800996134	30.541619279809716	37.4097597688937	84.92710655164576	58.69505759800777	19.819912599611055	24.94691478993293	38.28130434496086	89.15931220596923	63.01711000464952	27.22939522131148	35.489274318889436	38.88531105938383	86.93637909968787	61.30386604886058	34.3965640629584	39.672091432256934	45.50417269960664	118.52104463476998	74.15925172379994	32.511859012255776	37.07483167952897	42.41692622589749	106.51237451836288	57.37044892929842	27.0852261410868	30.66666035481303	40.39173816709743	100.08485560440009	68.3027325048117	25.91834512585116	27.83994460843246	28.640452282518673	80.2768984083897	49.55623345779475	25.537578022582892	28.78504566139071	38.07131053869966	89.66972482635855	56.132947015479154	23.786999009318116	28.43884146165121	32.327044893619046	72.97181617732109	45.2122930080548	35.71532338393985	36.25428341527827	41.57075601708864	105.5667049731756	67.80608748471865	26.394189670502833	27.487038504846836	35.15870028347025	74.72971424090439	46.47639961948069	26.316357194557845	32.948773832573735	44.322938019446916	102.28073939625813	59.3714272185048
24.904483057523535	26.960305413335846	35.90454816799969	83.70080834108862	59.81291829502386	21.456881741378865	30.97794307707362	36.98539465797485	87.24866817565139	61.3835503839997	24.987910099108642	27.555794180063454	37.84171978055152	77.57252414363712	61.14270492388648	22.41234722540027	28.502411038070264	33.302133012096895	73.94877485004336	54.96738981310724	24.96824654622513	23.496242985623564	39.1891265002436	84.06746944331704	60.89425731595553	29.521876247726446	36.99541734111672	48.85539894932877	108.46158898969588	68.89818066646987	27.6943928336884	28.728451910212478	37.430232377044035	75.82826547899025	53.79541476155196	26.00294519797812	34.21976527562501	43.377190143021906	88.33521167545936	62.61456765145165	18.89369829230089	29.016618011570692	34.75407797449965	69.82699546641064	45.708825392758264	24.279908191047053	33.235335516480454	38.23522270597321	89.89009834163858	50.04275549564557	21.779594670711504	23.475562894461348	30.4613637224713	76.48836974442484	42.385736503515155	26.49054318469817	35.168101253877396	45.30165491101155	102.92774260502546	64.00929876294119	20.586426705611125	24.795387626549903	35.0620383861088	82.58533976741624	49.550326292698834	26.13551888198962	34.822632235249266	43.129957372014424	94.13241602333073	65.55635928248957
26.648877629009952	26.415255791982844	35.66917889654785	92.50588797388684	53.13063476425121	27.206826231271304	32.07993941779464	36.718583293500245	96.12237471516823	59.63510674600665	25.93202489564245	26.148764256695703	36.05080201397184	84.26191812622132	54.49103558788255	25.917123994060628	25.565581409168935	33.88385363804513	78.99026904855916	53.63165687050275	23.203855371357786	26.063775177322167	41.48575165901672	100.40095122782171	50.61132066764477	29.407967397805656	35.545691510784195	46.362416495236275	103.12655505508361	64.58743674578291	29.38451436621594	30.045085709364418	34.98742520769672	78.50586024954148	48.72379951275724	27.832029258655233	32.1997758991056	42.109047588652814	89.37211444282995	62.71710242706935	26.71479590031165	25.739764596575988	33.91628080190077	73.6678139889936	63.238383702455295	25.583795784216356	28.36185143278796	39.87356258967884	84.94186427399244	61.984697586331336	23.599861977356696	21.541218825132262	26.08819683042853	65.19620600383679	39.434626444062275	29.314502112790166	27.825808484844835	45.59456804301904	100.62601241740224	64.48703472543461	17.89732043675405	17.889019694495982	32.30706413942991	75.07756059963481	49.81745903646042	27.67042716014895	32.66486161484735	46.04228075240655	99.87044717153572	61.426977058492376
21.663004798227576	30.796247071523567	43.97787395674726	105.5374387447032	69.43670861821876	26.94542194916676	35.00517245387235	48.63238587151498	97.37453351330531	74.89981870028878	23.595777939906377	28.598952289937873	38.370847217357806	88.3646569264649	59.4823597206118	20.190068210101273	28.052599824020575	37.9313803902326	84.68981606718229	60.89308824434444	23.290747537197127	26.421136430717873	37.027357882763816	113.14599173806693	67.56536264533453	29.286125169133168	38.659087651773426	55.145665931989505	114.61998829161325	82.8984279531339	26.927900895865555	27.907509199291642	37.69654666876831	88.24747306498236	54.27995293790231	26.918762981580524	33.82099400447257	47.87885961474498	100.36225061281303	69.15750624690926	22.455763558318218	27.55266631269422	33.54632348223752	79.54203667128925	65.63590341714377	25.309370589033414	30.72426273515336	38.18217581886758	88.69742012741712	61.5611189639491	19.76270549892387	20.98967063759568	29.171865176059917	67.40344981738622	54.21769367853706	27.178896646448024	29.320656562586493	46.53379968671317	101.55506654732625	72.95344418569823	17.741332388138037	23.86243648841021	34.69049599529287	81.82369307538619	47.33895153903666	27.597088018154007	30.551951756813697	47.28571677118525	102.55265302675129	67.23809699556767
22.833454374860068	27.125276317224582	38.60886913079809	98.64768605482188	69.13356302155093	22.746198279187304	30.578795877205554	40.853456041097665	100.34346845847043	70.58729548408428	25.47197830378464	28.082514145366726	36.61795548274136	91.25273781782249	60.53551574465953	20.47487175873903	25.939490259991196	34.736195570385455	86.62964701657465	53.9240110286613	24.142529237320904	24.820344036001348	38.50594887929696	95.36838372337634	64.76584394641802	26.986515768968502	35.94337663421867	49.10014826695269	110.21323640748088	70.58128550634271	26.246940101451596	28.47485923709611	34.13536933565085	78.65579713067825	51.70294495436941	25.748671518538885	32.2207774037648	40.38038601240821	93.63573106463093	63.684586222122775	19.137792568591195	22.17673652438774	35.84124877136881	79.61288536733304	58.95744318988134	22.98720768740794	24.04111299691554	35.30011094002067	95.40699497581276	61.253568490263504	18.00483067428763	19.56937098194851	32.93527161672504	50.87085882490122	45.94794088582965	25.136884071955585	31.129891903236373	37.91957810789533	106.0175671538464	71.86158714288464	20.575596155313413	24.306471229735713	30.975290278751693	71.32468338255484	35.97777719231139	26.146883393428574	32.49949810008868	37.5652142553132	101.27094415594595	63.71814548254527
26.51949460024536	36.43340243740491	43.25558560207933	113.33729892613245	80.39552106855265	25.211342097692913	38.09927099590656	37.70914841432968	107.44361196658616	77.46087009008559	18.914110103319477	32.83720341044217	34.27032110210607	91.44379786573973	68.48889121694906	20.4332234222478	30.669631071333963	32.01722500020265	80.20560161923231	59.000257870915064	27.93147630929638	35.00133698823466	47.35510459368197	113.97905672701725	79.86053205832329	28.362948553316272	38.831853666127955	46.76924492394481	107.78169686716537	71.08265846544244	23.58507956706711	34.15698357148045	36.61491019586501	83.01348206641657	63.67246040814498	23.933456531993052	33.08136752151382	44.71250309198072	101.67687232036256	62.08491183872169	16.05713772457861	24.242229230779365	32.69289777984911	61.951728014188134	56.87818388753869	18.19833112527178	25.180542971652237	37.70469818096782	83.97140480591601	62.66213749186938	16.56251741536794	23.828183713708725	33.865078242761356	58.567818514161274	42.016871837288136	26.68894598452608	34.112013999491445	42.69906558519566	99.96075813004761	67.10582507340744	21.862621759127244	22.20669162340858	30.86509463248514	69.35747054438333	38.13997030721879	25.676723939419503	29.360711538188166	46.81501472250831	102.66521100563195	64.00470705953083
