AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma	average_hr	hrv	Condition
26.973274974362873	29.45850683868687	37.13430903752549	95.77642710074065	55.81977595550802	27.704658964777185	26.381983957347643	35.12880433571401	100.50764075929996	55.27521101834532	27.016898169228163	25.55014724937335	34.796537031205816	66.62708393036887	45.4950466050785	28.936135754979176	21.02857270611348	37.549799757691396	92.55163071178023	56.56173241703826	28.48189533195697	30.66182869285624	36.91411416960741	99.2841527417788	60.15622443707739	29.295113199691798	31.306259808588006	45.711629099992805	122.23448957389706	67.19926065992647	24.37886677644329	24.27221220668492	38.37086511667485	76.65535226112782	42.177740416002834	26.89351408615536	26.197603053920197	38.40014834631164	99.64359108173463	56.95845604931198	23.21342421102768	20.662102389271645	36.89140576500638	73.68351847004247	44.10304819614001	25.938606656510515	24.663405114437776	28.21645680706742	86.19334799869374	52.80987297327466	24.65702734272781	21.98451264306614	30.54931613647363	74.56748479082881	46.57986707263999	25.957852587759128	24.74974943237583	31.641509871691877	80.55389195114948	52.82211334785659	23.69534621832893	26.738550371714616	39.12310438394838	88.27669127647076	49.54405941630382	23.498845199010905	19.97611697397507	29.212663457927377	78.9679249294769	48.018755652957495	36.82548476454294	0.07467113191621101	low
24.895114122371524	30.69972691751666	41.121200828693375	68.42586505860064	51.18981176132925	22.606982845657903	31.200234953955693	39.78871054375746	75.82234203615353	52.6274244576387	24.507022643872748	24.5550756512508	33.04735503325411	68.35305899786329	33.682310666186815	23.481072624644554	27.050556749228214	34.30342544978346	84.51242033753677	51.45224103093339	24.89663659759577	35.33938760997815	48.644388136428596	93.03327655354255	56.94656717633646	24.072305256962643	33.79841235745431	44.922719247429285	95.87116007074663	58.220349930904014	21.26177356080592	27.281108803039782	38.841221423523564	76.58550022121922	44.75628476142062	21.027748231985996	28.810577919080153	34.34780818044098	90.85651355804625	53.36686590512082	16.59058974996055	28.374452074274412	30.50757682420332	62.94689319611883	42.22692526845914	18.976307757567213	27.66675110691645	31.006442162024328	81.6566318798401	53.1500831198984	17.015441948217177	26.286027251717105	28.930227340172166	67.76664892553445	31.800705578568678	20.11031648414759	23.537095641213597	27.69565180944954	84.62502880756125	47.913947386593264	20.30167843533834	19.67783405361611	36.00539005843388	81.65319042113452	46.60567132979222	16.79089040408182	17.834498037611077	28.033661919880924	78.70190219161839	47.63820540426775	45.841274238227165	0.031730692104786684	low
21.97350872247838	22.910647464107647	33.12994287965957	75.74543745354592	41.82273024171098	20.820134903115882	23.544845421355248	30.50156829563973	71.84162394718734	45.37556106578837	20.629869109278914	17.58507302321872	30.771545100977693	62.01686531265432	40.413949579040995	18.944255017665398	23.6569384474164	29.91344108823017	71.97944882248828	49.52090220304848	21.87192632910171	22.211254179867144	35.770079122246806	87.45523595646938	41.94008843416026	22.141015179084423	24.382095746570123	30.18858006544647	87.75266004828397	50.67442060755233	19.384863508752908	22.413018910158247	26.630523831707947	68.41218470218524	42.80061546387003	18.140027532959653	20.509630744764863	32.46700549136254	80.31039204977161	52.221209976219434	13.486791241146172	24.060306746968678	32.47212913903904	77.91055794199782	47.40050281643152	13.747626188065166	27.099543937267725	31.578350153223155	80.99638142545345	52.14658017172388	17.9932086277899	24.242412305610806	34.32323591739096	69.50594152048608	37.08383832696151	21.146359646353957	28.011197724677444	30.47907396190823	91.07656941221246	51.47950928364746	19.264988632298483	25.17519417243483	34.25236043610437	78.98206503388658	43.98679452772168	21.500651003918705	22.2731222196724	18.39688242338194	73.0805669156563	47.180244462492055	41.422524238227155	0.05504547296827241	low
23.242496712203817	31.025000045343656	46.72743829979285	83.91843488490335	45.93670968837828	25.2021572419846	32.37810505468128	46.974852436263035	80.19726811602241	52.50315313931355	14.70327416914309	26.1435691062592	36.52211777254585	68.88156301109305	39.87250611997187	29.06038760545667	30.373438051041433	37.99640012298276	84.61674819457231	48.40339113893599	24.90533451666289	37.86575338006624	52.229527418530296	89.21109062184982	60.38943587167549	26.613413977948987	35.57457618960112	50.93763304485062	88.27876818309659	57.24482876791867	19.03912584129528	27.63871104407499	40.056405061845965	73.89366221396712	41.408936302148234	22.684556156696118	30.747178063785324	41.60053650776409	79.64798196318584	56.455017663895326	16.43417896712823	24.815787281655282	38.95046516399113	77.26991634967688	45.19018023285903	22.10437356067927	22.964277062820827	40.48522084246075	74.4184763781309	46.781424144567396	18.318601159809518	22.897339798200655	30.897621349969093	67.21277060058	37.345316353666234	21.032663993394827	22.792816462222223	28.483823438863606	65.8391260406809	46.59709648796986	16.971289185042153	23.921929252318115	37.65649170687192	73.35084104814226	35.15393557416638	19.634981223005237	23.81315479861224	31.40150280944889	44.10389477429925	45.134440342931015	30.530163127116037	0.0999439216657633	low
22.26182141660678	28.90489608627339	42.75188119070495	89.61662293917078	55.54199464236557	23.781118136687667	28.504495163135214	36.99438088527463	84.69610602585182	52.481011280887245	22.553302890631794	23.60364354147618	30.86075089880585	74.4669659208944	43.00420325107197	26.814018355702785	27.06386770214413	35.95774256348432	85.71851370106252	52.59281675874531	26.852006599932864	34.56797531900517	47.368956759489905	113.40185693331483	64.02773824262881	24.860797846005934	32.57256788874001	41.60066516684749	98.28815862473279	59.165756283777526	20.95738989576811	26.547648421139975	41.19551368551551	88.1941852766351	49.180785577148264	19.653629460299545	28.584776888593073	35.29603844301474	88.95028355763003	52.50688825730469	19.001476654121305	26.338170016110226	38.780589606747185	79.79601461141993	41.04563009289076	23.117332203692843	28.330726102355012	36.541203932784484	77.42822389758267	50.63889557501863	17.16205362895075	25.91852645504141	36.24138248472017	79.10951656778207	41.09092095075662	28.086325928324854	33.1566883373831	40.126342588561194	87.89730470102943	55.14150225932044	20.73665550680437	22.938495475362448	33.9707308929985	78.32222602232622	42.82507516992469	16.860969952682858	18.901674421143795	33.31558591759498	74.93825805226221	48.215975926556396	20.70377423822714	0.07881253284704459	low
23.282563039001555	29.95881110775349	37.113977238723265	77.48961315797354	55.216447964608676	19.988999896018015	28.15815644631832	34.84434657474961	83.0438848177486	55.599048926375175	18.86809485444077	22.675043047121346	22.158428210056105	58.526739944263426	43.96191369203992	23.549187529195677	27.180541350729587	31.985903988525653	80.7707393314438	58.22814154499892	26.174179231955375	34.12350100683701	48.70394858210566	108.01599792346764	64.0901050653641	12.162139053185042	28.595234427202477	37.24815415037821	88.62124145631523	62.73304124934279	20.274522113833772	30.297568491856048	38.42764087184119	75.9025907332957	54.21478216937892	14.961773987632995	23.58452717144096	35.3694636884969	83.46714543413766	60.1912786289007	20.938295523574187	24.927441365945963	35.785227548909134	90.25186834248942	47.32047547635662	23.90556906838631	20.927123885961528	32.77073500317625	88.01580179649605	62.0187983370483	19.773303593784195	26.998799232115026	35.15284155544709	78.41370059008736	45.33001220903897	35.634852701781355	42.19593950990736	55.42012385463747	126.84479655473066	81.9772755575146	16.281165916851492	23.984635853357258	34.9443557587048	73.22517990424741	53.31959025524659	20.25073617330741	20.410480526304575	32.85829460945708	79.96147940482544	59.89363849276389	18.54127423822714	0.053649113083006336	low
21.727151597423635	26.795100728098827	33.18372222513822	71.6449993618645	50.234369363898644	20.19683639592597	29.035407756299126	37.24975933790016	85.13989456363403	48.786137788683995	25.10863676713317	28.998633212685103	36.9967104121176	85.45241629785966	47.73805609975897	24.845941838495985	30.966759071767843	35.86208392723726	86.65154096414213	46.43345225461623	21.83696540986852	31.613746874854776	42.04347037015114	83.56843121406045	59.475861383291615	21.414052367911257	29.52454098560819	43.87567367088939	92.56894997280862	51.29756139202603	12.913569009414834	25.387255539024984	35.20115169566285	75.71072253127753	53.79481185687744	20.827185834133452	28.29851497410409	37.775645557868	84.40624991916509	53.0578245878004	17.4589755912028	21.689360857374265	32.503296301824676	70.44649664936402	48.39513559948642	16.835035507327362	17.864882405864297	27.163811478844742	72.56944147807859	51.29403134990825	17.946430522275477	23.160854668083296	34.0442077878643	71.20366192341508	52.27374713238287	29.80393630028425	36.23242931782917	44.058359259471544	90.99727280542987	65.84825042462631	16.50767247093716	20.347420962549606	40.483797525072326	80.30278978446921	47.40153589835374	14.709412682064055	20.401276848415165	28.41142703681345	73.69860873116683	46.164732352739634	20.89127423822714	0.021265416999141355	low
18.683003684969833	25.761027513805917	32.07968418533115	68.17517787864652	53.753325885111224	18.149342001262838	24.870280443004383	36.16582769396446	62.16223101949105	54.35233075311699	22.512333861894238	19.369282686829035	30.942648778948435	63.187978412145355	45.17868645381149	26.23000331640049	24.201041439192053	33.089517330520145	74.69618127155378	58.33259420498973	20.045606951185125	30.823545580647608	42.94952302504134	90.75381184655691	54.530099030433675	20.680906817921006	31.0230707460166	41.68200989879858	82.93278065875343	63.156317425375235	19.631772043257108	24.3807800316662	34.71852405660157	78.6623873182725	51.66120189619184	19.99734504702889	22.62427588405967	36.40114705446716	72.47269446923433	55.148083914454354	17.904093728890604	24.586876481618873	39.2752478527607	78.5186937182556	30.376554884326975	18.78581951999816	25.002162071081727	37.72372134170333	87.23356171508111	43.990626104716554	20.057423009450336	21.668146959908224	33.817702539871576	76.52169080808872	41.05212395031484	14.999366511633244	27.13103817687263	32.507403421022815	91.98036463042767	56.296337453299344	17.811006474677487	22.42759721830905	31.778053399830426	85.27338204083894	43.931938960982876	17.51326555190475	19.68628697547736	27.484386667841942	74.33518125502009	48.86368093771732	20.847156591168318	0.044109551040040315	low
22.130065988039515	20.773212454835342	31.799989050029897	68.42196378001515	47.905105131518845	18.213314339078707	21.199002710067788	33.11881821553808	71.8230051436044	54.94530756613097	17.511484945037616	16.713451095172516	31.33758263126976	63.25840838929045	47.255372955926305	23.60270905898487	23.861866589069542	30.664336720823993	77.78282938756759	61.655337742191016	25.019429234523336	22.272709563704666	23.934280250668955	81.35494167165695	53.457630247678594	20.43586039919867	29.434197495285257	32.814404125177624	99.37167107401044	60.96676741761556	22.332974702297438	16.48345334845178	29.499499000632188	70.0370810054931	50.41330688143	21.25648622346844	27.422747784055737	31.957220369107397	84.70190104028214	55.625924666556735	20.135888536251187	18.942361242252883	36.64445910246141	81.66449377788587	49.37391246637663	38.23969408135306	45.89122112028267	59.65975465570453	134.18661106320855	82.43203085147957	17.09080803035787	13.375545534771943	32.49172629203466	66.57099246304749	49.8959909855697	24.37823407995362	30.272773857518768	34.437469420206945	82.30418871539146	52.64726013695801	20.691608883210264	19.905122300345514	38.17916210014513	64.0764510744832	46.609787947579164	16.31151643515781	20.19162582512608	33.154963015005386	78.3016609829712	48.08547219846448	16.02362717940361	0.10782829320649506	low
24.511145644313782	22.802738279114386	27.82037989461412	66.5636742617135	48.07689630589369	21.535654936543146	18.201840459242952	30.839365055078773	79.45258203823249	44.90947489912542	20.769818051558836	17.51318939091238	32.70584658167199	58.86690176254442	41.5478023825242	25.668509382243837	22.368053563619096	34.68760629835168	74.09126518535464	47.658008881601056	21.564420951822925	27.30660528412057	31.151802296707395	73.74076642026974	51.388452599818635	23.99391820347286	22.430352845928297	35.76062742652088	90.48629789695751	58.90934703510443	24.246455203001183	22.519618709147743	29.888406675937237	74.77237975141037	49.99330639631265	24.299394062044662	20.376067145491216	32.105078388763275	78.23357018098916	54.70589655250434	22.85518802297472	23.743013568768063	30.737850198368406	76.02545775799759	39.61911435152968	29.296241146765336	32.00150392524957	40.932474000712006	93.51371587800291	52.72161721115799	24.17543041207604	25.069731020342402	32.378900120637724	75.73291116800203	41.08982453819693	22.632814300493035	18.66452024705554	34.4422657005594	78.28256361664852	55.627851821948504	21.143511515269314	27.106482543906715	35.733093750132646	85.30163730618634	50.047939394650086	20.39962489535162	23.241979873619755	35.29831704575146	57.14075714700357	48.23745408477465	16.41905201600492	0.05836390850918133	low
